rule_code,category,section,all,any,none,priority,exclusive_group,is_fallback,is_active
ML_DAY_COMBINE,MATCH_LOVE,DETAIL,MATCH_DAY_COMBINE,,,200,,N,Y
ML_DAY_CLASH,MATCH_LOVE,DETAIL,MATCH_DAY_CLASH,,,200,,N,Y
ML_STEM_COMBINE,MATCH_LOVE,DETAIL,MATCH_STEM_COMBINE,,,150,,N,Y
ML_ADVICE_FALLBACK,MATCH_LOVE,ADVICE,,,,0,,Y,Y
ML_ADVICE_CLASH,MATCH_LOVE,ADVICE,,MATCH_DAY_CLASH MATCH_STEM_CLASH,,100,,N,Y
MB_FALLBACK,MATCH_BOND,SUMMARY,,,,0,,Y,Y
MB_FAMILY,MATCH_BOND,SUMMARY,MATCH_REL_FAMILY,,,100,MB_CORE,N,Y
MB_FRIEND,MATCH_BOND,SUMMARY,MATCH_REL_FRIEND,,,100,MB_CORE,N,Y
MB_D_FALLBACK,MATCH_BOND,DETAIL,,,,0,,Y,Y
MB_DAY_COMBINE,MATCH_BOND,DETAIL,MATCH_DAY_COMBINE,,,200,,N,Y
MB_DAY_CLASH,MATCH_BOND,DETAIL,MATCH_DAY_CLASH,,,200,,N,Y
MB_A_GIVES,MATCH_BOND,DETAIL,MATCH_A_SEES_B_SIKSANG,,,150,,N,Y
MB_B_GIVES,MATCH_BOND,DETAIL,MATCH_A_SEES_B_INSEONG,,,150,,N,Y
MB_ADVICE_FALLBACK,MATCH_BOND,ADVICE,,,,0,,Y,Y
MB_ADVICE_FAMILY,MATCH_BOND,ADVICE,MATCH_REL_FAMILY,,,100,,N,Y
MC_FALLBACK,MATCH_CONFLICT,SUMMARY,,,,0,,Y,Y
MC_STEM_CLASH,MATCH_CONFLICT,SUMMARY,MATCH_STEM_CLASH,,,300,MC_CORE,N,Y
MC_DAY_CLASH,MATCH_CONFLICT,SUMMARY,MATCH_DAY_CLASH,,MATCH_STEM_CLASH,250,MC_CORE,N,Y
MC_BOTH_STRONG,MATCH_CONFLICT,SUMMARY,MATCH_STR_BOTH_STRONG,,MATCH_STEM_CLASH MATCH_DAY_CLASH,200,MC_CORE,N,Y
MC_CONTROL,MATCH_CONFLICT,SUMMARY,,MATCH_A_SEES_B_JAESEONG MATCH_A_SEES_B_GWANSEONG,MATCH_STEM_CLASH MATCH_DAY_CLASH MATCH_STR_BOTH_STRONG,150,MC_CORE,N,Y
MC_MILD,MATCH_CONFLICT,SUMMARY,,,MATCH_STEM_CLASH MATCH_DAY_CLASH MATCH_STR_BOTH_STRONG MATCH_A_SEES_B_JAESEONG MATCH_A_SEES_B_GWANSEONG,100,MC_CORE,N,Y
MC_D_FALLBACK,MATCH_CONFLICT,DETAIL,,,,0,,Y,Y
MC_SHARED_MISSING,MATCH_CONFLICT,DETAIL,MATCH_SHARED_MISSING,,,200,,N,Y
MC_YEAR_CLASH,MATCH_CONFLICT,DETAIL,MATCH_YEAR_CLASH,,,150,,N,Y
MC_SHARED_STRONG,MATCH_CONFLICT,DETAIL,MATCH_SHARED_STRONG,,,120,,N,Y
MC_ADVICE_FALLBACK,MATCH_CONFLICT,ADVICE,,,,0,,Y,Y
MC_ADVICE_CLASH,MATCH_CONFLICT,ADVICE,,MATCH_STEM_CLASH MATCH_DAY_CLASH MATCH_YEAR_CLASH,,100,,N,Y
